Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
68,Female,White,144593,816,92704,1
31,Male,Other,137606,791,35121,1
47,Non-Binary,White,99578,355,62791,0
43,Male,Other,50901,716,21499,1
63,Female,Other,139596,776,70517,1
56,Male,Asian,105631,567,71191,1
61,Non-Binary,Other,98766,396,13570,0
46,Female,Black,80780,456,50641,0
52,Non-Binary,Asian,56292,401,92848,0
50,Male,Asian,51980,699,85517,1
46,Male,Black,124723,742,79120,1
56,Non-Binary,Hispanic,33485,728,74653,1
24,Non-Binary,Other,114196,330,77483,0
66,Male,White,66099,424,32983,0
32,Male,Hispanic,141642,421,21915,0
68,Female,Asian,88436,355,29569,0
27,Male,Other,134111,581,23133,1
53,Female,Other,132164,347,35356,0
58,Female,Hispanic,31427,593,36734,0
22,Male,Other,116394,571,24963,1
65,Non-Binary,White,59291,602,11078,0
37,Female,Hispanic,100051,716,66189,1
23,Non-Binary,White,147760,696,90337,1
27,Male,Other,39802,577,14009,0
36,Female,Hispanic,104030,608,61304,0
58,Female,Other,85199,470,65153,0
65,Female,Other,56298,743,94864,0
72,Male,Hispanic,145724,552,49357,1
40,Non-Binary,Black,31824,602,20120,0
20,Female,Other,29016,838,44628,0
24,Female,Hispanic,128556,504,53112,0
29,Female,Asian,24706,685,10546,0
24,Female,Hispanic,82731,384,49237,0
26,Non-Binary,Black,136858,678,5018,1
47,Male,Asian,55372,514,38557,0
40,Male,Hispanic,36876,662,40008,1
45,Male,White,133262,356,11010,0
33,Female,White,112758,487,65579,0
58,Non-Binary,White,29696,700,13932,1
31,Non-Binary,Asian,51684,655,34351,1
35,Female,Black,24683,365,58197,0
74,Male,White,119037,422,10891,0
74,Female,Hispanic,103964,449,37594,0
66,Male,Hispanic,102914,573,51599,1
53,Male,White,50843,528,61118,0
21,Male,Other,50895,360,83629,0
67,Non-Binary,Other,32566,458,36636,0
56,Non-Binary,Asian,85915,600,6964,1
57,Non-Binary,Black,88070,431,95503,0
20,Female,Hispanic,64081,754,53576,1
47,Male,Other,125682,729,32560,1
63,Female,Asian,129277,537,56513,0
48,Male,White,96012,413,29175,0
45,Female,Hispanic,123628,728,95451,0
45,Non-Binary,Hispanic,119415,513,60773,1
43,Non-Binary,Black,63500,361,51532,0
42,Non-Binary,Other,86484,742,15456,1
37,Male,Other,93783,311,93152,0
68,Non-Binary,Hispanic,64564,710,68832,1
42,Male,Asian,58405,301,6515,0
67,Non-Binary,White,79678,489,77743,0
60,Non-Binary,White,108986,342,6771,0
66,Non-Binary,White,59999,383,12715,0
59,Male,Asian,112736,668,54425,1
56,Non-Binary,Other,65096,767,55261,1
21,Female,White,33923,432,39169,0
46,Male,White,124470,840,64912,1
54,Male,White,120550,550,27920,1
19,Male,Asian,130957,421,82178,0
24,Female,Hispanic,76574,322,48914,0
74,Male,White,78588,397,50530,0
29,Non-Binary,Asian,94057,605,27040,1
23,Non-Binary,Other,77609,760,77637,1
32,Male,Other,28720,669,15999,0
69,Non-Binary,Asian,120847,576,74038,1
26,Male,Black,116275,666,46864,1
42,Female,Hispanic,24341,711,56255,0
58,Non-Binary,White,129362,515,10497,1
74,Non-Binary,Hispanic,107114,831,78196,1
42,Female,Black,106685,738,52989,1
24,Female,White,142007,691,15230,1
23,Male,Hispanic,107148,596,36906,1
