Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
73,Non-Binary,Black,80615,460,98803,0
59,Male,Black,52710,449,50919,0
57,Male,Asian,75980,672,63687,1
18,Non-Binary,Black,123007,454,86711,0
48,Male,Black,147907,796,26177,1
63,Non-Binary,Hispanic,80242,559,30684,0
34,Non-Binary,White,137422,763,7549,1
68,Female,Black,42906,793,42065,1
39,Female,Hispanic,123747,815,40799,1
35,Non-Binary,Black,43082,434,58136,0
68,Non-Binary,White,66410,650,16084,1
66,Male,Other,144237,834,29944,1
40,Female,Hispanic,126505,738,63555,1
32,Female,White,121431,555,49558,1
32,Female,Hispanic,36591,692,40164,1
53,Non-Binary,Asian,45832,755,22491,1
61,Female,Other,71088,340,70110,0
63,Male,White,108810,612,22389,1
41,Male,Black,73382,375,26630,0
48,Male,Other,30079,684,47166,1
44,Male,Black,104854,783,6778,1
18,Female,Hispanic,21043,776,18842,1
72,Female,Hispanic,48537,623,47362,0
58,Non-Binary,White,51491,784,55434,1
22,Non-Binary,Other,43455,794,66007,1
48,Non-Binary,Hispanic,99973,432,69732,0
44,Female,Asian,89753,388,17234,0
43,Female,Other,100265,519,22911,0
59,Non-Binary,Hispanic,68338,826,14230,1
52,Non-Binary,Other,149506,746,31777,1
73,Non-Binary,Black,72150,426,51951,0
63,Non-Binary,Hispanic,33951,607,46458,0
48,Non-Binary,Black,68483,301,5130,0
67,Male,Asian,52002,813,41626,1
61,Female,Hispanic,149791,453,31582,1
52,Non-Binary,White,79618,379,26578,0
55,Female,Asian,39024,440,67417,0
26,Female,White,135410,566,93247,1
20,Female,Asian,112768,567,94080,1
38,Non-Binary,White,129096,323,19777,0
55,Non-Binary,Hispanic,41662,628,97600,0
27,Female,White,110573,603,95179,1
24,Female,Black,64207,556,20029,0
32,Non-Binary,Black,72674,626,78803,1
34,Non-Binary,Other,121145,527,78480,1
49,Male,Other,26672,501,96617,0
59,Male,Black,20498,341,96702,0
43,Female,Black,135109,755,21392,1
69,Male,White,103853,398,40383,0
62,Male,Hispanic,70205,581,12492,0
21,Male,Hispanic,102317,428,81485,0
63,Female,White,146099,690,43742,1
38,Female,White,88132,684,83820,1
38,Female,Black,65241,680,79210,1
73,Non-Binary,Black,138855,764,43816,1
24,Non-Binary,Hispanic,104766,370,20365,0
69,Female,Black,78614,761,97382,1
37,Non-Binary,Hispanic,91450,637,47395,1
48,Male,Other,141784,804,35147,1
66,Non-Binary,Hispanic,90951,562,96003,1
44,Non-Binary,Black,62548,662,90244,1
38,Non-Binary,Other,71452,744,13646,1
48,Male,Black,136301,570,23142,1
50,Female,Asian,133228,573,42464,1
25,Male,Asian,80912,415,12690,0
51,Male,Other,83921,566,30446,1
74,Female,Other,132865,521,35989,1
37,Female,Black,135854,578,23101,1
41,Non-Binary,Other,58047,450,48993,0
67,Non-Binary,Hispanic,94969,625,18346,1
36,Female,Asian,32467,843,38851,1
53,Male,Asian,137873,385,68959,0
21,Female,Other,111615,771,78017,1
38,Non-Binary,Other,70561,541,49602,0
31,Male,Hispanic,122656,595,63544,1
59,Male,Other,40601,440,96446,0
39,Non-Binary,Black,139802,333,45182,0
31,Non-Binary,Asian,93132,602,41944,1
39,Non-Binary,White,91830,597,40788,1
46,Male,Hispanic,99053,510,65930,0
45,Non-Binary,Hispanic,136420,625,75925,1
54,Male,Black,126019,322,86671,0
53,Non-Binary,Black,63415,304,81501,0
71,Non-Binary,Hispanic,54388,651,25903,1
65,Non-Binary,Asian,121294,727,66734,1
66,Male,White,121695,675,7525,1
41,Female,Other,37426,837,13680,1
57,Male,Black,76552,733,22276,1
47,Non-Binary,Black,148719,778,46726,1
56,Female,Other,52140,808,68904,1
22,Male,Black,81993,654,37251,1
63,Female,Other,64811,659,32381,1
26,Non-Binary,White,82067,522,65178,0
70,Male,Other,70011,528,24396,0
42,Non-Binary,White,40987,436,96253,0
69,Non-Binary,Asian,124724,630,13086,1
56,Non-Binary,Asian,84912,594,97065,1
64,Female,White,98098,701,60454,1
64,Female,Other,33925,732,19177,1
46,Female,White,124161,559,65035,1
41,Female,Other,125094,441,60206,0
30,Non-Binary,Asian,136827,629,40044,1
43,Female,Black,74283,337,74210,0
59,Female,Hispanic,29879,440,44552,0
50,Male,Hispanic,133475,482,10706,1
20,Female,Black,22112,385,76966,0
44,Non-Binary,Hispanic,37015,590,66559,0
55,Male,Black,55251,457,40820,0
19,Male,Hispanic,34340,814,72522,1
42,Male,Black,60710,702,75213,1
59,Non-Binary,Black,34037,788,41660,1
67,Male,Black,86640,603,79408,1
71,Non-Binary,Asian,118173,778,26334,1
22,Female,Hispanic,27250,833,83202,1
46,Male,Hispanic,29648,374,28490,0
64,Male,Other,64480,599,32430,1
53,Non-Binary,Black,124856,515,77005,1
47,Male,Black,29946,315,33599,0
25,Female,Other,147014,645,37283,1
38,Non-Binary,Hispanic,63877,407,37428,0
38,Male,White,121986,538,36960,1
30,Non-Binary,Hispanic,37503,572,35232,0
64,Female,Other,58079,558,58848,0
30,Non-Binary,Asian,127244,703,93938,1
36,Non-Binary,Black,22062,338,41170,0
44,Female,Black,108419,553,77032,1
57,Female,Black,96173,531,59669,1
51,Non-Binary,Black,40653,732,82630,1
58,Male,Hispanic,65513,743,6895,1
38,Female,Other,80216,480,61312,0
37,Female,Other,21484,794,62559,1
50,Non-Binary,Hispanic,78273,736,50985,1
51,Non-Binary,Hispanic,84120,461,23251,0
37,Male,Hispanic,130524,564,60803,1
54,Female,Other,123919,741,52074,1
61,Male,White,51906,636,96659,1
66,Female,Other,38592,362,66819,0
34,Non-Binary,White,135951,597,79268,1
58,Female,White,105423,443,51517,0
21,Non-Binary,Other,99707,505,37481,0
33,Female,Other,98952,537,21758,1
61,Female,Black,105682,516,54546,1
24,Female,Black,140932,847,54734,1
24,Female,White,100969,693,34461,1
73,Non-Binary,Other,64201,542,69602,0
59,Female,Asian,124686,763,69813,1
59,Female,Asian,148002,673,32203,1
54,Female,Asian,142042,381,85173,0
31,Female,Other,39434,354,8760,0
37,Male,White,33079,428,83339,0
74,Male,White,129456,678,57444,1
65,Female,Hispanic,105966,502,37711,0
25,Male,Black,28068,339,56053,0
28,Female,Other,144540,531,62776,1
31,Non-Binary,Hispanic,105466,561,53505,1
37,Non-Binary,White,74990,628,96950,1
40,Male,Hispanic,77066,817,20358,1
30,Female,Asian,111170,342,94728,0
71,Non-Binary,Hispanic,142619,587,15278,1
25,Female,Hispanic,109164,352,29597,0
64,Male,Hispanic,94817,548,34121,1
61,Non-Binary,Hispanic,101340,439,44269,0
43,Male,White,139153,813,86494,1
46,Male,Other,92765,457,28949,0
25,Male,Hispanic,61006,597,69206,0
61,Non-Binary,Asian,148945,697,16391,1
53,Non-Binary,White,108015,771,40215,1
58,Female,Other,35513,806,87495,1
37,Non-Binary,White,104998,812,65557,1
49,Male,Black,140106,644,14653,1
28,Non-Binary,Asian,111802,524,63938,1
48,Male,Hispanic,85687,586,73449,1
64,Non-Binary,White,72773,745,70533,1
56,Non-Binary,White,42380,415,27526,0
42,Female,Asian,69153,327,38775,0
74,Male,Black,26464,407,88173,0
48,Non-Binary,Black,80716,801,84258,1
67,Female,Asian,120029,428,51415,0
24,Male,Other,139251,708,92419,1
28,Non-Binary,White,139884,613,57656,1
63,Male,Other,111245,337,71981,0
44,Non-Binary,Black,74830,455,31017,0
39,Non-Binary,Black,49157,387,55493,0
29,Female,White,24953,338,66278,0
59,Non-Binary,Other,50460,765,87146,1
54,Non-Binary,Asian,65618,617,85375,1
67,Male,Hispanic,72024,810,50792,1
42,Non-Binary,Black,83967,578,87089,1
27,Non-Binary,Other,122746,390,84713,0
29,Female,Asian,141294,535,70062,1
73,Female,Asian,28796,352,88766,0
62,Female,Asian,43349,497,29553,0
57,Male,Asian,55478,832,7886,1
32,Male,Other,137344,456,39729,1
67,Male,Hispanic,76815,354,14686,0
54,Non-Binary,Other,76561,403,82960,0
49,Male,Black,41295,527,8990,0
54,Female,Hispanic,52583,648,55623,1
60,Male,Hispanic,85485,534,60082,0
63,Female,Other,130503,642,64151,1
