Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
59,Female,Asian,121024,537,9085,0
67,Female,Black,146826,442,91047,0
31,Non-Binary,White,46451,593,30443,0
60,Male,Asian,53174,424,77844,0
45,Non-Binary,Other,38839,645,21320,0
73,Female,Hispanic,57238,710,80388,0
67,Male,Black,40994,797,13913,1
52,Female,Hispanic,32421,744,72384,0
64,Non-Binary,Other,112853,423,78989,0
72,Non-Binary,Hispanic,106966,775,58741,1
18,Non-Binary,Hispanic,47096,564,24713,0
57,Non-Binary,White,108448,372,16864,0
34,Female,White,68739,501,98191,0
55,Male,Black,80836,620,64684,1
70,Female,Other,135204,403,94112,0
63,Non-Binary,Other,102530,607,72412,1
21,Male,Asian,80975,746,77326,1
26,Non-Binary,Black,53352,369,69583,0
68,Male,White,121118,509,74359,1
30,Non-Binary,Black,120392,626,14370,1
44,Female,Hispanic,70637,666,85870,0
34,Male,Hispanic,33767,654,77290,0
31,Non-Binary,Hispanic,124789,346,51519,0
21,Female,Other,52203,509,50824,0
18,Male,Other,101460,467,5036,0
57,Non-Binary,White,59107,613,28989,1
67,Male,White,61799,687,17680,1
59,Non-Binary,Hispanic,38780,798,48526,1
19,Male,Other,91385,430,52733,0
49,Male,Asian,129346,612,55783,1
58,Male,White,94428,322,17748,0
45,Male,Black,64421,644,22369,1
23,Female,Other,129520,405,23768,0
70,Non-Binary,White,125579,703,70779,1
56,Male,Black,142637,420,94684,0
41,Non-Binary,Asian,148098,481,72796,1
36,Male,Asian,41189,370,15631,0
64,Male,Asian,49601,643,97843,1
37,Non-Binary,Asian,58733,664,48530,1
38,Non-Binary,White,68818,592,59335,1
64,Non-Binary,Hispanic,117195,599,30387,1
63,Male,Hispanic,27764,336,62042,0
39,Female,White,122251,786,62213,1
50,Female,Black,115783,656,78701,1
60,Non-Binary,Asian,79759,524,13393,0
42,Female,White,103167,678,29297,0
27,Non-Binary,Other,102419,457,6408,0
61,Female,Asian,44680,569,20667,0
25,Non-Binary,Black,141652,796,77702,1
56,Female,Asian,54587,454,74629,0
65,Female,Black,25650,824,35012,0
33,Non-Binary,Asian,21216,588,93515,0
63,Non-Binary,White,63546,810,52781,1
27,Non-Binary,Asian,76187,766,67608,1
53,Non-Binary,White,27827,825,95590,1
49,Non-Binary,Hispanic,38699,745,90710,1
54,Female,Other,53605,385,99677,0
20,Female,Asian,141119,345,33749,0
24,Male,Hispanic,149061,515,57716,1
44,Female,Hispanic,131460,708,53071,1
61,Male,White,48548,645,29430,1
64,Non-Binary,Asian,38162,810,16620,1
19,Male,Black,81102,336,49191,0
49,Male,Other,39025,478,86819,0
74,Male,Asian,43761,775,76328,1
29,Male,Asian,74026,844,72709,1
37,Male,Black,86591,843,26103,1
59,Male,Hispanic,58263,680,31571,1
27,Non-Binary,Asian,83108,435,90469,0
54,Female,Hispanic,109592,373,47640,0
32,Male,Hispanic,64954,383,55182,0
54,Non-Binary,Asian,94226,449,83170,0
50,Male,Black,44641,335,88214,0
68,Non-Binary,White,69815,751,72563,1
37,Female,Asian,113908,423,5445,0
20,Female,Black,127702,347,61295,0
66,Male,Other,21229,566,31543,0
56,Female,Black,78074,624,43485,0
23,Female,Other,118290,323,66072,0
36,Male,Black,36533,437,13994,0
21,Non-Binary,Asian,81866,525,18907,0
73,Female,Black,55915,627,35280,0
34,Non-Binary,Asian,147497,673,9478,1
45,Non-Binary,Hispanic,69119,535,37153,0
53,Male,Hispanic,61757,545,56719,0
52,Female,Other,121746,540,64714,0
64,Female,Black,133147,424,71023,0
60,Female,Hispanic,117257,367,62065,0
51,Male,White,97041,749,40672,1
65,Female,Black,139954,613,81688,1
63,Non-Binary,White,57730,845,67791,1
70,Female,White,33586,756,91156,0
52,Non-Binary,Asian,56072,428,18289,0
47,Female,White,141988,656,6065,1
31,Female,Black,136871,795,66594,1
51,Male,White,143603,495,93296,1
53,Male,Asian,60963,354,84331,0
36,Non-Binary,Other,143550,576,86099,1
53,Female,Black,104242,634,14327,0
19,Male,Black,52401,704,84941,1
66,Male,Other,132682,429,10572,0
66,Male,Black,111681,436,88221,0
32,Female,Black,73001,693,71735,1
53,Non-Binary,White,117473,462,94670,0
68,Female,Black,143612,693,71094,0
70,Non-Binary,Asian,143988,756,72844,1
28,Non-Binary,Hispanic,77500,673,15890,1
51,Female,Hispanic,138147,370,35754,0
21,Non-Binary,Asian,109718,374,94449,0
60,Male,Hispanic,87117,658,21230,1
73,Male,White,76159,415,90697,0
48,Non-Binary,White,149993,400,66846,0
45,Non-Binary,Other,127444,808,89065,1
55,Male,White,30029,701,50726,1
50,Male,White,99811,611,52363,1
71,Non-Binary,White,54522,721,31552,1
60,Male,Black,83843,772,11933,1
36,Male,Other,138924,329,90922,0
22,Non-Binary,Asian,84160,520,41767,0
42,Male,White,43453,337,6931,0
44,Male,White,69435,322,10589,0
47,Non-Binary,Black,30810,423,26739,0
38,Female,Other,135667,579,40898,0
50,Non-Binary,White,145593,797,40709,1
74,Non-Binary,Black,32703,595,60973,0
44,Female,Other,90220,647,42310,0
20,Non-Binary,White,99101,817,95199,1
74,Male,Asian,77841,547,78336,0
37,Non-Binary,Asian,147110,715,89823,1
28,Female,Black,137881,322,32872,0
48,Male,Hispanic,48151,317,34373,0
29,Male,Hispanic,111332,662,92728,1
19,Non-Binary,Asian,99218,506,12318,0
52,Female,White,142738,343,33692,0
71,Male,Asian,88946,307,94448,0
28,Female,Asian,28816,796,98842,0
28,Female,Hispanic,47845,634,19797,0
31,Male,White,46619,383,48408,0
58,Non-Binary,Asian,138114,440,85544,1
43,Female,White,58318,664,79205,0
65,Male,Hispanic,118656,496,85796,1
73,Non-Binary,White,23910,499,44888,0
57,Non-Binary,Black,85613,631,29595,1
43,Non-Binary,White,134749,657,90458,1
23,Female,Asian,127817,709,62938,1
46,Female,Black,70078,616,35481,0
21,Male,Other,31861,713,52895,1
34,Female,Hispanic,29286,844,37322,1
66,Non-Binary,Other,87431,819,49945,1
62,Male,Asian,32322,341,15584,0
34,Non-Binary,White,42924,302,23689,0
25,Female,Other,69718,613,53824,0
70,Non-Binary,White,33827,690,84690,1
39,Non-Binary,Other,147443,710,83605,1
37,Male,White,53717,537,73467,0
69,Female,Hispanic,91005,467,60694,0
46,Female,White,65917,600,82879,0
45,Female,Hispanic,31361,608,7664,0
46,Non-Binary,Hispanic,24521,556,54687,0
36,Non-Binary,Other,113287,520,63341,1
63,Non-Binary,Asian,146553,839,56987,1
30,Non-Binary,Black,91582,521,28827,0
20,Male,Hispanic,70747,737,19797,1
48,Male,Hispanic,33779,717,20493,1
26,Female,Asian,129159,353,65965,0
54,Male,White,99831,339,49425,0
45,Non-Binary,Hispanic,86412,422,87180,0
29,Male,Black,127096,839,15662,1
74,Female,White,116345,516,55012,0
38,Non-Binary,White,41569,385,92718,0
44,Non-Binary,Hispanic,142220,675,56025,1
68,Male,Black,80001,522,84190,0
39,Female,Other,61401,842,7468,1
73,Non-Binary,Other,52550,453,76825,0
32,Female,Hispanic,20807,327,88635,0
68,Male,Hispanic,136254,829,72957,1
68,Female,Hispanic,93344,321,81910,0
