Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
60,Non-Binary,Other,110633,651,97978,1
44,Female,White,135224,391,85938,0
45,Non-Binary,Other,139687,776,13973,1
66,Female,Asian,74489,387,93880,0
19,Male,White,107164,548,26676,0
41,Female,White,129287,337,26953,0
69,Non-Binary,Other,86037,795,18262,1
71,Female,Black,53788,475,59267,0
46,Female,White,73564,661,98894,1
27,Female,Other,66002,535,20083,0
62,Non-Binary,Other,147135,310,45847,0
45,Male,Black,116054,546,39089,1
66,Female,Other,122830,371,30712,0
50,Non-Binary,Hispanic,41291,525,87207,0
64,Non-Binary,White,134467,836,28444,1
23,Female,White,95486,477,94851,0
35,Non-Binary,White,94835,756,23494,1
72,Male,White,31155,422,69415,0
48,Male,Hispanic,51821,450,5756,0
61,Non-Binary,Other,49648,563,35024,0
58,Non-Binary,Asian,29796,712,41711,1
57,Female,Hispanic,147107,532,28281,1
49,Female,Hispanic,116465,602,73540,1
64,Non-Binary,Other,30491,477,16269,0
69,Female,Other,59823,683,46049,1
72,Male,Asian,49254,645,5296,1
68,Non-Binary,Black,119133,368,42106,0
23,Non-Binary,Black,126634,676,84818,0
27,Male,White,101194,338,29522,0
55,Male,Black,72656,420,23112,0
38,Female,Other,86323,668,67517,1
20,Male,White,76834,309,9679,0
18,Male,Black,36462,603,25825,0
31,Female,Asian,126082,590,88953,1
28,Non-Binary,White,93277,725,8676,1
51,Female,Asian,149122,718,26569,1
32,Non-Binary,Hispanic,48040,537,37721,0
43,Non-Binary,White,106188,397,36964,0
69,Male,White,49510,641,78474,1
43,Female,White,34661,569,33085,0
72,Female,Other,35014,578,82673,0
36,Male,Black,127389,634,97806,1
33,Female,Other,142759,346,94332,0
34,Female,Other,58059,434,83695,0
70,Male,Other,100510,817,59262,1
66,Female,Black,69327,559,38069,0
65,Female,Black,103816,375,79905,0
59,Non-Binary,Hispanic,113266,339,43601,0
47,Non-Binary,Black,109616,423,33303,0
22,Male,White,79325,697,30707,0
72,Non-Binary,Asian,115147,406,83523,0
72,Non-Binary,Black,97686,301,31942,0
62,Female,Hispanic,131166,406,94653,0
52,Male,White,30222,345,62398,0
69,Male,White,79862,665,83384,1
