Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
57,Male,Black,126799,480,69816,0
25,Male,Hispanic,65534,438,81317,0
36,Male,Other,101025,692,45603,1
58,Non-Binary,Black,97009,390,43961,0
24,Male,Asian,44817,691,19260,1
65,Female,Asian,47799,364,49239,0
55,Female,Black,44584,414,7248,0
20,Male,Black,42198,522,84269,0
35,Non-Binary,Asian,111470,794,19134,1
74,Female,Black,145061,463,86539,0
43,Male,Black,146905,341,51739,0
39,Male,Black,41237,454,25165,0
41,Non-Binary,Other,126407,366,23759,0
44,Non-Binary,Black,77456,605,7100,0
36,Female,Hispanic,34287,679,64753,0
39,Non-Binary,Black,27226,635,30959,0
74,Male,Black,121697,354,57009,0
68,Female,White,124216,743,27628,1
54,Non-Binary,Black,24581,661,32426,0
43,Non-Binary,Asian,113265,388,32709,0
51,Non-Binary,Asian,46055,730,8403,1
21,Non-Binary,Hispanic,24874,317,51031,0
58,Female,Hispanic,45375,498,33600,0
62,Non-Binary,Asian,76890,473,50144,0
48,Female,Other,28771,843,77131,1
28,Female,Other,51770,535,45373,0
59,Male,Black,106757,703,16247,0
63,Non-Binary,Asian,94565,422,18926,0
72,Male,Asian,105829,535,38903,1
63,Non-Binary,Asian,138410,709,31238,1
58,Non-Binary,Hispanic,146894,474,97379,0
27,Male,White,90735,406,19332,0
63,Male,Asian,69554,644,47316,1
49,Male,Other,69921,302,17938,0
38,Male,White,50906,679,64192,1
39,Non-Binary,Asian,139741,656,10848,1
70,Non-Binary,Hispanic,37855,432,26909,0
74,Female,Other,134664,453,97136,1
46,Female,White,109502,490,27056,0
64,Male,Other,39091,679,33179,1
32,Female,Other,115965,647,58036,1
67,Female,Asian,50766,416,12896,0
32,Female,Asian,116402,607,51245,1
59,Male,Asian,30147,581,55226,0
36,Male,Hispanic,145125,311,47773,0
58,Male,White,66974,397,63361,0
61,Non-Binary,White,92213,494,62896,0
25,Female,Other,138716,424,98871,0
42,Female,Black,58696,678,43461,0
54,Non-Binary,Asian,85060,755,25773,1
