Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
23,Male,Other,68338,324,91566,0
42,Male,White,109895,321,64553,0
35,Non-Binary,Other,100798,630,92390,1
55,Female,Other,132100,745,9097,0
19,Non-Binary,Other,128626,365,22635,0
23,Non-Binary,Black,63316,431,21842,0
31,Female,Asian,103676,675,37790,0
34,Non-Binary,Asian,101187,724,56210,1
36,Female,Other,44579,600,14929,0
50,Non-Binary,Black,32871,777,12869,1
68,Non-Binary,Asian,127632,758,50078,1
29,Female,White,90547,337,25390,0
65,Female,Black,148025,811,45497,1
67,Non-Binary,Black,55044,564,51347,0
29,Female,Asian,27588,471,43158,0
60,Non-Binary,Asian,80871,844,60255,1
23,Non-Binary,White,110645,702,22578,1
49,Non-Binary,Hispanic,77719,670,71651,1
58,Female,Black,77683,470,96683,0
63,Male,White,139696,487,90383,1
69,Non-Binary,Asian,31537,549,17990,0
35,Male,Other,61862,429,24829,0
24,Male,Hispanic,106837,388,34974,0
67,Male,Black,105323,483,32994,0
34,Non-Binary,Black,77875,369,11373,0
30,Non-Binary,White,71148,322,67196,0
28,Non-Binary,Hispanic,59962,456,64868,0
43,Female,Hispanic,41367,546,25312,0
62,Male,White,47793,621,70563,0
64,Male,Other,140481,609,98243,1
47,Female,Asian,26980,845,88406,0
51,Female,Asian,53147,712,60101,0
23,Non-Binary,White,44288,814,15990,1
63,Non-Binary,White,70423,755,79670,1
19,Male,Other,56655,421,55446,0
18,Male,White,62407,760,27269,1
50,Male,Black,32334,602,94262,0
30,Non-Binary,White,32234,365,73466,0
25,Female,White,30339,365,97047,0
54,Male,Hispanic,102415,785,33659,1
21,Non-Binary,Hispanic,97048,809,30964,1
73,Non-Binary,Hispanic,149595,433,73863,1
66,Female,Asian,100903,594,67987,0
61,Female,White,108682,370,59793,0
52,Male,Hispanic,27588,355,40353,0
59,Male,Other,113500,834,66853,1
30,Non-Binary,Black,128797,525,71816,1
67,Male,White,29773,479,16397,0
59,Male,Asian,129010,368,41597,0
66,Female,Other,42218,465,55677,0
53,Non-Binary,Hispanic,33694,556,82794,0
53,Male,Hispanic,111120,586,98114,1
29,Male,Hispanic,127355,824,13469,1
27,Female,Black,27055,448,54042,0
69,Male,Asian,135318,650,54159,1
41,Non-Binary,Black,127102,475,11350,1
43,Non-Binary,Black,32568,719,93789,1
58,Female,Black,98488,676,35202,0
29,Male,Black,134349,659,81256,1
64,Non-Binary,White,102476,474,39445,0
48,Male,White,81358,605,17284,1
26,Non-Binary,Hispanic,129326,650,51648,1
51,Female,Other,107740,429,63112,0
37,Non-Binary,Hispanic,142794,343,77911,0
67,Female,Other,78326,409,41166,0
34,Male,Hispanic,22664,710,16692,1
62,Female,Black,55964,793,33058,0
64,Male,White,84680,457,5971,0
24,Male,Asian,138820,830,56715,1
57,Female,Hispanic,125063,762,63812,1
74,Male,Other,35885,696,98102,1
43,Female,Black,119581,554,77844,0
26,Female,White,144076,309,55697,0
21,Female,Asian,42313,559,16606,0
66,Female,Other,45150,746,19351,0
34,Male,Other,119502,688,81880,1
32,Female,Other,127908,641,70765,0
29,Non-Binary,White,108544,481,42811,0
60,Female,White,143649,445,91936,0
23,Non-Binary,White,90171,453,78247,0
32,Non-Binary,Asian,81238,473,31631,0
18,Female,White,90725,825,76134,1
36,Non-Binary,White,23832,822,29148,1
18,Female,Asian,110866,365,25413,0
73,Non-Binary,Other,78056,389,22465,0
40,Female,Asian,71440,810,8144,0
35,Male,Black,26868,313,42884,0
74,Male,Other,85165,667,73946,1
67,Female,Other,116456,324,30389,0
31,Male,Asian,112078,836,15709,1
50,Non-Binary,Black,147412,409,55115,0
59,Male,Asian,40746,707,62288,1
18,Female,Black,78654,522,61721,0
19,Female,Other,70180,704,26650,0
55,Male,Other,108626,825,61028,1
65,Female,Other,52648,691,71480,0
35,Non-Binary,Other,64512,490,15718,0
31,Male,Black,148657,304,92130,0
65,Female,Other,58449,484,32835,0
70,Non-Binary,Asian,129275,531,70441,1
23,Male,Asian,58384,561,39633,0
60,Female,Black,125513,593,34103,0
67,Female,Other,81141,583,99519,0
72,Female,Other,71764,790,75928,1
44,Male,White,94828,827,5350,1
53,Non-Binary,Other,105789,833,54243,1
26,Non-Binary,White,117043,501,86585,1
43,Non-Binary,Other,26330,668,61422,0
24,Male,Black,30166,651,21764,0
49,Male,Asian,62536,796,22709,1
52,Female,Asian,70361,792,26183,0
28,Non-Binary,White,56266,361,33284,0
27,Male,Hispanic,94686,753,87239,1
69,Non-Binary,Hispanic,124273,391,10116,0
21,Non-Binary,Black,56228,411,26359,0
44,Male,Asian,69569,763,11584,1
74,Male,Black,24622,551,46987,0
20,Female,Asian,44295,517,82171,0
51,Non-Binary,Asian,129079,683,93517,1
52,Female,Black,128082,439,12815,0
45,Non-Binary,White,95010,659,9852,1
23,Non-Binary,Other,27168,761,53053,1
43,Male,Hispanic,114381,602,59163,1
53,Female,Black,119833,659,28280,1
31,Female,Hispanic,124172,672,94005,1
69,Female,Asian,92771,846,63159,1
40,Female,Black,138859,342,24188,0
57,Non-Binary,Black,32321,344,73498,0
27,Non-Binary,White,141125,564,48361,1
52,Female,Hispanic,122984,663,81858,1
45,Non-Binary,Black,99396,593,76915,1
57,Male,Other,109413,835,44539,1
24,Female,White,60641,480,8675,0
31,Female,White,111621,637,70424,0
21,Non-Binary,Other,80059,612,50955,1
63,Male,White,127184,781,75899,1
42,Non-Binary,White,68319,443,15717,0
40,Female,Hispanic,96810,306,83968,0
50,Female,Other,32017,636,31719,0
23,Female,Black,119377,534,27873,0
63,Female,Hispanic,103771,529,21078,0
73,Non-Binary,White,65559,797,24705,1
74,Non-Binary,Black,140512,755,7059,1
37,Female,Hispanic,54702,681,8972,0
65,Female,Other,101976,744,17646,1
34,Female,Other,58165,428,99610,0
21,Male,White,100982,422,18860,0
60,Male,Hispanic,50995,840,91545,1
29,Non-Binary,Black,97600,589,26688,1
65,Male,White,87245,842,88027,1
60,Male,Other,20454,765,19446,1
35,Female,Black,128443,498,58390,0
74,Male,Black,94954,756,77083,1
31,Female,Black,137750,784,47876,1
27,Female,Asian,96435,603,83170,0
18,Non-Binary,Other,24852,479,26629,0
72,Female,Other,139827,793,33382,1
74,Non-Binary,Hispanic,40227,377,77314,0
32,Non-Binary,Black,67867,740,57374,1
58,Female,Other,21591,497,79795,0
22,Non-Binary,Black,31218,511,34391,0
18,Non-Binary,Asian,102749,812,7867,1
41,Non-Binary,White,83977,523,14540,0
26,Non-Binary,Asian,90849,759,96966,1
48,Female,Other,140879,414,24572,0
35,Female,Black,61691,730,80998,0
30,Non-Binary,Black,138182,426,10553,0
25,Non-Binary,Asian,61034,328,42264,0
69,Non-Binary,Asian,91350,692,88009,1
34,Female,Asian,96015,804,95962,1
53,Male,Hispanic,45359,405,75530,0
31,Male,Hispanic,109612,802,9599,1
62,Male,Other,84622,488,52831,0
19,Non-Binary,Other,80124,601,20002,1
49,Male,Asian,78865,823,34930,1
60,Male,Black,118605,758,47558,1
72,Male,Other,130977,722,32450,1
26,Female,Other,111506,613,31028,0
47,Male,Hispanic,47510,465,27287,0
54,Male,White,142738,303,95432,0
73,Female,Black,135309,722,99033,0
31,Male,White,138046,501,13017,1
24,Non-Binary,Other,33809,695,69106,1
63,Male,Other,38683,418,93945,0
34,Non-Binary,Black,84744,480,97387,0
68,Male,Hispanic,103398,849,71232,1
44,Female,Other,144139,523,25485,0
39,Non-Binary,Hispanic,122535,347,68492,0
43,Female,Other,35368,581,27320,0
66,Non-Binary,Black,57123,365,50579,0
19,Non-Binary,Hispanic,62243,306,15721,0
71,Female,Asian,51694,723,78108,0
26,Male,Other,111116,386,55880,0
51,Non-Binary,Other,63352,447,16639,0
40,Male,Hispanic,44756,519,15645,0
48,Female,Other,42219,522,54980,0
48,Male,Black,80503,522,61741,0
27,Male,Other,51779,487,80649,0
42,Male,Asian,106444,758,59944,1
41,Non-Binary,Asian,103609,397,91627,0
