Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
37,Non-Binary,Asian,36168,472,22615,0
58,Male,Black,61975,800,20843,1
24,Non-Binary,Asian,147608,720,64091,1
55,Female,Hispanic,122903,796,45978,1
59,Non-Binary,White,127435,827,73252,1
59,Male,Other,77399,611,28959,1
64,Male,Other,60341,348,28367,0
43,Male,Black,28541,540,49004,0
73,Female,White,119662,671,19797,1
73,Non-Binary,Other,50828,485,50036,0
32,Female,Asian,92917,513,85924,0
43,Female,Hispanic,48212,669,21838,0
49,Male,Asian,65513,660,79490,1
64,Female,Hispanic,136395,502,79189,0
31,Male,Other,122915,710,63278,1
49,Female,Other,86626,501,51058,0
66,Male,White,129742,668,96893,1
21,Female,Asian,113680,484,68892,0
61,Female,Asian,62007,303,77882,0
52,Female,White,109649,369,46044,0
31,Male,Asian,105101,802,66139,1
29,Male,White,76891,597,6461,1
25,Female,Asian,125416,593,28801,0
70,Female,Black,139295,525,43011,0
20,Male,White,67726,371,68784,0
20,Non-Binary,Hispanic,44960,636,93572,0
25,Non-Binary,White,121199,753,88430,1
38,Male,Asian,46931,305,56248,0
33,Non-Binary,Black,66281,623,53856,1
53,Female,Black,131636,405,21174,0
19,Female,White,27563,573,15625,0
71,Non-Binary,Other,124352,575,63674,1
60,Female,Black,144581,650,6405,0
43,Non-Binary,Asian,116641,825,80248,1
34,Non-Binary,Hispanic,75991,528,93247,0
20,Male,Asian,77228,547,37244,0
69,Male,Other,63527,468,12134,0
59,Male,Hispanic,101181,327,95002,0
55,Female,Hispanic,41093,751,46948,0
37,Female,Other,34937,392,44076,0
66,Female,White,22439,400,35266,0
32,Non-Binary,Other,96873,522,54473,0
49,Non-Binary,White,33603,473,22628,0
54,Female,Asian,78046,369,11856,0
49,Non-Binary,Asian,58840,369,73783,0
37,Female,Hispanic,133896,525,30025,0
41,Female,Black,50896,698,88666,0
34,Male,Hispanic,43106,429,55738,0
70,Male,Asian,111514,806,15272,1
67,Female,White,67515,708,95442,0
28,Male,Asian,78579,756,96748,1
25,Female,Asian,78597,512,90631,0
49,Female,White,101037,724,7603,1
26,Female,Hispanic,116160,824,95653,1
30,Female,Asian,81244,534,47848,0
46,Non-Binary,Asian,113258,374,94854,0
44,Male,Other,140976,581,43163,1
74,Male,Other,104517,436,13304,0
58,Female,Other,71603,741,80937,0
50,Non-Binary,White,110856,510,56946,1
65,Female,White,66869,401,40491,0
19,Female,Asian,60964,798,97985,1
24,Female,Asian,47293,407,70167,0
24,Non-Binary,Black,33506,752,60285,1
48,Non-Binary,White,139424,486,24167,1
34,Male,Black,113063,537,47731,1
35,Non-Binary,Black,49835,679,21153,1
33,Female,Asian,135231,763,18230,1
37,Female,Asian,61017,451,55981,0
47,Female,Hispanic,131628,639,42352,1
24,Male,Black,86602,302,50685,0
49,Female,Black,103445,457,42982,0
38,Non-Binary,Hispanic,34455,356,98783,0
74,Male,Hispanic,61149,580,27928,0
56,Male,Other,113594,477,71417,0
18,Non-Binary,Hispanic,91494,323,52358,0
26,Non-Binary,White,53390,718,96770,1
51,Non-Binary,Black,133660,709,61903,1
30,Non-Binary,Black,123410,689,57366,1
69,Non-Binary,White,52162,600,49145,0
71,Non-Binary,Other,76720,432,20321,0
69,Non-Binary,Black,91013,428,61068,0
64,Female,Black,26077,777,29072,0
54,Male,Asian,124591,448,68410,0
64,Male,Hispanic,127810,426,41063,0
22,Female,Black,139815,436,14688,0
36,Female,Hispanic,136655,840,80093,1
27,Male,Black,57914,336,69429,0
26,Male,Other,40756,528,39742,0
74,Male,Black,34161,745,21015,1
39,Male,Asian,109507,306,16093,0
62,Female,Other,71154,487,38020,0
38,Female,Hispanic,130839,505,47582,0
72,Male,Hispanic,51491,618,62281,0
31,Non-Binary,Hispanic,53679,427,35428,0
31,Female,Black,86747,603,83686,0
61,Female,Other,92358,531,49822,0
59,Female,Other,105077,598,93062,0
46,Male,Asian,129270,543,67413,1
45,Male,Asian,129899,810,63155,1
56,Non-Binary,Black,62482,693,43787,1
54,Non-Binary,Other,53043,372,33978,0
68,Male,White,116737,527,63988,1
54,Female,Other,32417,314,64662,0
28,Non-Binary,White,119909,406,10683,0
