Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
35,Male,Black,58273,312,75424,0
55,Non-Binary,White,48535,320,13843,0
23,Non-Binary,White,31003,775,49663,0
66,Female,White,54680,616,5174,0
46,Non-Binary,White,109458,315,16690,0
59,Non-Binary,Asian,135150,347,10967,0
58,Male,Black,109106,809,36207,1
18,Male,Hispanic,88251,439,30977,0
33,Male,Hispanic,119923,337,40355,0
33,Female,Hispanic,51573,325,97393,0
44,Male,White,95458,693,65569,1
61,Non-Binary,Black,90828,434,40443,0
32,Non-Binary,Asian,25877,743,81853,1
22,Female,Asian,124143,795,83448,0
37,Female,Asian,141879,509,48136,1
28,Female,Black,125343,735,19168,1
50,Non-Binary,Hispanic,24850,347,20284,0
49,Non-Binary,White,111560,374,98093,0
68,Female,Black,146214,715,88034,1
55,Male,Black,87204,491,8213,0
56,Female,Other,30974,302,38952,0
61,Non-Binary,Black,103678,415,67250,0
34,Male,Hispanic,108260,824,74782,1
19,Male,Hispanic,105343,528,39133,0
48,Male,White,28172,465,56715,0
74,Female,Black,27721,518,60998,0
26,Male,Hispanic,56757,564,73541,0
28,Non-Binary,Hispanic,50408,796,94551,1
50,Male,Asian,64098,373,37126,0
21,Female,White,140347,606,48719,0
59,Male,Other,148427,539,32794,1
56,Non-Binary,Hispanic,32613,416,92998,0
18,Female,Black,117822,747,43819,0
57,Female,Asian,25738,699,10797,1
31,Female,White,126769,599,27082,1
32,Female,White,28777,830,68585,1
42,Female,Asian,91800,428,35532,0
37,Male,White,112159,841,65683,1
41,Female,White,142081,347,99028,0
48,Female,Hispanic,143191,801,84318,1
39,Male,Hispanic,70325,798,89728,1
48,Male,Asian,73641,301,38810,0
54,Male,Other,26897,376,58879,0
41,Non-Binary,White,119487,783,59145,1
55,Non-Binary,Hispanic,97246,565,66485,1
27,Non-Binary,Asian,31124,732,74795,1
40,Non-Binary,Asian,83723,362,83323,0
26,Female,Black,112096,711,25120,1
38,Male,Other,38564,785,16994,1
37,Male,Other,86372,836,56562,1
54,Non-Binary,Other,86751,697,14885,1
30,Male,Hispanic,103748,822,71557,1
59,Female,White,31660,427,33046,0
37,Non-Binary,Hispanic,126228,650,35379,1
50,Male,Asian,148938,801,74991,1
68,Female,Hispanic,32725,571,44076,0
27,Non-Binary,Hispanic,21413,363,32497,0
21,Female,Hispanic,60388,721,81666,0
39,Non-Binary,White,146665,300,70428,0
65,Female,White,101653,373,7768,0
68,Female,Hispanic,128574,775,58496,1
45,Female,Asian,51611,527,17637,0
49,Female,Other,60630,487,96136,0
74,Female,Other,144790,832,52722,1
57,Male,Black,124382,330,20540,0
41,Female,Black,102507,754,54728,1
50,Non-Binary,White,48450,794,88855,1
35,Male,Other,130751,306,39850,0
19,Female,Black,136729,379,40055,0
28,Female,Other,111446,718,61790,1
54,Non-Binary,Other,87494,655,21595,1
39,Female,Black,72594,530,56210,0
25,Male,Asian,139977,642,35443,1
56,Male,Asian,85624,531,65072,0
66,Male,Asian,30994,353,32337,0
18,Non-Binary,Asian,38297,590,68454,0
68,Male,Asian,92817,825,26651,1
37,Female,Other,47314,817,45661,1
24,Non-Binary,White,85519,630,93586,0
31,Female,Asian,38868,758,58816,1
48,Female,Other,68508,366,14746,0
68,Female,Black,82738,411,35660,0
64,Non-Binary,Hispanic,93691,419,80122,0
46,Non-Binary,Other,77684,692,23618,1
35,Male,Hispanic,66555,470,21826,0
49,Female,Hispanic,42455,728,13342,1
53,Male,Asian,132851,401,31302,0
38,Male,Black,127115,529,87073,1
61,Female,Asian,119511,817,80373,1
61,Male,Black,48561,775,79149,1
19,Male,Black,31487,485,38722,0
24,Male,Other,65379,479,26347,0
61,Non-Binary,Black,75254,406,27559,0
32,Female,Black,82127,664,27593,1
29,Female,Other,27720,603,55892,0
38,Non-Binary,Hispanic,122145,376,60349,0
45,Female,Hispanic,112536,316,92120,0
23,Male,Asian,25570,646,31590,0
49,Non-Binary,White,138305,321,77824,0
45,Male,Asian,108547,742,43758,1
50,Male,Other,49393,805,41531,1
24,Non-Binary,Asian,120955,703,95058,0
37,Female,Hispanic,121973,831,42661,1
66,Female,Hispanic,27543,459,13448,0
31,Male,Hispanic,147250,555,78542,1
68,Female,White,134329,582,21905,1
38,Female,Black,142751,314,19785,0
38,Non-Binary,Asian,142132,727,91483,1
33,Non-Binary,Asian,93816,715,53152,1
36,Female,Black,78248,615,35788,1
73,Female,Hispanic,97297,302,55538,0
18,Female,Black,26548,336,22980,0
73,Non-Binary,Black,123759,491,40023,1
62,Male,Black,139017,538,46835,1
29,Non-Binary,Asian,134992,656,9739,1
23,Non-Binary,White,41581,674,74922,0
57,Non-Binary,Black,132858,678,78997,1
62,Female,Black,124934,439,63420,0
41,Male,Hispanic,39194,785,73424,1
34,Male,Other,98921,483,13142,0
39,Non-Binary,White,73508,442,73637,0
36,Non-Binary,White,125667,306,39397,0
35,Female,Asian,105297,544,43373,1
63,Female,Asian,132491,502,39193,1
25,Female,Asian,44671,403,36882,0
59,Male,Asian,117689,699,37137,1
48,Male,Other,110360,369,55744,0
61,Non-Binary,Black,81757,372,7882,0
34,Male,Black,52292,654,92256,1
56,Male,Asian,60680,797,20484,1
60,Male,Black,61952,336,27273,0
33,Non-Binary,Hispanic,97008,438,35516,0
60,Male,Other,107777,634,80212,1
72,Male,Asian,50490,654,50509,1
62,Male,Hispanic,114909,390,92653,0
24,Non-Binary,Hispanic,136316,703,87915,1
21,Male,Hispanic,141499,816,98250,1
27,Female,Hispanic,102659,377,33581,0
64,Male,Hispanic,144450,448,10771,1
53,Male,White,128743,478,92750,1
37,Female,Hispanic,132599,378,68803,0
71,Male,White,67026,662,10494,1
49,Male,Other,82283,791,31344,1
27,Male,Black,115609,365,18561,0
52,Non-Binary,Black,108349,397,54631,0
58,Non-Binary,Other,72045,641,81056,1
48,Female,White,84043,726,41822,1
