Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
42,Non-Binary,White,105372,387,81659,0
46,Female,White,44979,571,17407,0
45,Male,Asian,77700,561,61065,0
26,Non-Binary,Asian,142550,665,67467,1
64,Male,White,24294,461,47995,0
46,Female,Asian,123756,738,99455,0
50,Non-Binary,Other,32499,675,92411,1
62,Male,Other,74401,789,77058,1
21,Male,Black,82574,578,80062,1
41,Non-Binary,Other,61513,396,41417,0
63,Male,Black,143093,416,72614,0
30,Female,Other,42417,543,69662,0
19,Female,Other,146836,602,14462,1
63,Male,Other,22435,688,21444,0
70,Female,Asian,140644,490,83750,0
37,Non-Binary,Hispanic,46131,651,16206,1
56,Female,Asian,28246,548,87647,0
51,Male,Hispanic,105612,659,24580,1
19,Non-Binary,Other,37162,647,84218,0
61,Female,Black,111677,488,42926,0
25,Female,Black,108270,611,35962,0
59,Female,Asian,25398,763,18368,0
21,Female,White,124709,695,75684,0
31,Female,White,103884,498,40369,0
20,Female,Other,22862,775,64456,0
40,Non-Binary,Hispanic,59255,376,23068,0
54,Non-Binary,Asian,75846,644,20067,1
42,Female,Other,124630,706,83628,1
30,Non-Binary,White,70994,522,93094,0
59,Non-Binary,White,81776,425,98440,0
24,Non-Binary,White,124051,509,69882,1
18,Non-Binary,Other,126763,739,47633,1
53,Non-Binary,Hispanic,149453,596,78619,1
44,Male,Black,65945,709,56575,1
42,Male,Black,23906,429,24459,0
37,Male,Black,68745,744,82118,1
19,Female,White,37890,735,40448,0
49,Female,Black,44032,762,24594,0
56,Female,Asian,146925,530,36882,0
20,Female,Other,74690,770,5932,1
34,Male,Asian,112039,592,46376,1
44,Female,Other,149350,587,56750,0
42,Male,Asian,35830,400,53922,0
36,Non-Binary,White,41228,690,84051,1
50,Female,Other,47152,817,17546,0
19,Female,Asian,114487,834,52858,1
73,Female,Hispanic,39008,632,84741,0
25,Non-Binary,White,103933,591,42312,1
66,Male,White,136698,568,96920,1
65,Non-Binary,Other,34624,375,71408,0
27,Female,Black,88634,417,89052,0
31,Female,Black,148270,579,69764,0
50,Male,Asian,134200,335,69643,0
19,Female,Other,56588,615,64448,0
25,Male,Asian,97974,689,31064,1
45,Female,White,106717,587,24721,0
27,Male,Asian,45350,592,14272,0
25,Male,White,134435,684,68467,1
53,Male,Hispanic,47666,636,63405,1
21,Female,Hispanic,60350,759,98130,1
36,Non-Binary,Other,35594,573,59985,0
45,Non-Binary,Other,80306,506,49151,0
52,Female,Other,56838,783,82297,0
57,Female,Asian,57322,840,53631,1
23,Female,Other,108029,354,9526,0
62,Non-Binary,Hispanic,24661,316,57272,0
54,Female,Hispanic,71847,343,29048,0
70,Female,Hispanic,67444,604,48159,0
30,Male,White,113728,538,20007,1
35,Male,Hispanic,74343,492,49911,0
39,Female,White,141774,475,93843,0
55,Male,Asian,134167,330,42935,0
57,Non-Binary,Black,99547,410,36500,0
70,Female,Asian,136152,632,41279,0
39,Non-Binary,Other,91503,635,37130,1
56,Female,Other,113149,507,17541,0
66,Non-Binary,Hispanic,62145,456,96083,0
40,Female,Other,124292,542,82361,0
