Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
50,Male,Asian,82123,642,50005,1
73,Non-Binary,White,143776,787,35993,1
36,Female,Black,114966,401,90149,0
69,Female,Other,89028,584,12838,1
70,Female,Hispanic,91356,624,8117,0
27,Male,Hispanic,117231,522,80857,0
59,Female,Hispanic,129087,658,81006,1
22,Non-Binary,Hispanic,45581,545,67692,0
41,Male,Hispanic,113022,570,87559,0
70,Male,Other,135075,559,18369,1
42,Non-Binary,Hispanic,93996,350,85969,0
44,Non-Binary,White,133307,754,83855,1
26,Male,Hispanic,119986,575,81643,0
32,Non-Binary,White,78319,663,86586,1
69,Female,White,90975,477,40670,0
45,Male,Asian,39086,709,53351,1
37,Male,Black,56966,465,15604,0
41,Non-Binary,Black,25665,414,65498,0
71,Non-Binary,Other,69353,774,47645,1
69,Male,Other,88394,537,12398,0
60,Female,Other,75136,602,21805,1
28,Female,Black,33110,743,80397,0
56,Male,Hispanic,87850,531,34811,0
57,Male,Hispanic,88321,716,44421,0
24,Female,White,63992,573,41681,0
66,Male,Black,31590,677,42137,0
54,Female,Black,130975,670,56672,0
25,Non-Binary,Asian,90323,651,54288,1
31,Non-Binary,Hispanic,50001,572,93545,0
72,Non-Binary,Other,72385,705,22580,1
27,Female,Other,118864,342,77922,0
45,Female,Asian,43289,395,85002,0
20,Male,Other,140466,431,23965,1
49,Non-Binary,Black,148727,720,74812,0
55,Non-Binary,Other,142894,306,48279,0
50,Male,Other,30497,368,13958,0
45,Male,Hispanic,76477,380,7743,0
54,Female,White,112199,532,7574,1
51,Female,Hispanic,109444,612,28048,0
51,Non-Binary,White,38812,306,21906,0
25,Female,Asian,69874,559,6765,0
32,Female,Hispanic,46927,464,77296,0
35,Male,Asian,108220,768,13552,1
25,Female,Asian,40693,537,27109,0
72,Male,Other,96720,751,66463,1
23,Male,Other,110807,558,90038,1
42,Male,Asian,87613,555,83964,1
22,Female,Hispanic,51850,682,99716,0
46,Male,White,50169,309,69405,0
70,Male,Asian,92325,665,81592,1
22,Male,Hispanic,37150,423,11560,0
65,Non-Binary,Other,54153,726,82000,1
19,Female,Asian,145709,716,11236,1
48,Female,Black,30066,472,49772,0
48,Female,Asian,57230,318,79832,0
64,Female,Black,73788,361,49492,0
53,Non-Binary,Black,114472,431,17327,0
47,Non-Binary,White,139430,693,13680,1
55,Male,Black,31803,753,13485,0
71,Non-Binary,Hispanic,87072,343,46796,0
40,Female,Other,81682,515,85175,0
32,Female,Hispanic,136628,802,35693,1
28,Non-Binary,Asian,29772,596,89617,0
33,Male,Asian,138622,705,54538,1
58,Non-Binary,Asian,88070,556,88570,1
32,Non-Binary,Other,87826,763,52375,1
40,Male,Asian,126205,582,83222,1
69,Non-Binary,Asian,21643,477,53827,0
37,Male,Black,66544,502,99102,0
29,Male,Black,129585,509,68769,0
57,Female,Other,82209,351,23105,0
52,Male,Asian,52220,646,85180,1
41,Male,White,24286,780,10734,1
44,Non-Binary,White,105211,448,60216,0
21,Male,Other,144249,677,74170,1
23,Female,Black,74109,475,98226,0
31,Non-Binary,White,33334,579,87171,0
65,Female,White,139603,311,12895,0
28,Non-Binary,Asian,128070,748,50032,1
64,Male,White,39457,408,98656,0
27,Non-Binary,Black,63836,630,64579,0
21,Male,Other,74358,640,94925,1
58,Male,Hispanic,31861,449,86248,0
54,Female,Hispanic,143837,826,43582,1
62,Female,Hispanic,62876,744,62961,0
71,Female,Hispanic,58559,845,86496,0
35,Male,Black,52448,667,38646,0
46,Male,White,45460,582,24249,0
37,Male,Black,66732,722,34978,0
56,Non-Binary,Asian,41549,722,98331,1
45,Non-Binary,White,118363,647,89970,1
27,Male,Black,81014,709,44624,0
70,Male,White,22291,763,5428,1
64,Male,White,44941,470,93696,0
44,Male,Asian,102402,419,66956,0
73,Male,Hispanic,100752,739,76661,0
28,Non-Binary,Hispanic,134314,750,98878,1
19,Female,Black,99085,691,71479,0
44,Female,Hispanic,46091,507,75628,0
70,Female,Hispanic,103119,483,96668,0
29,Male,Other,31929,793,82071,1
39,Non-Binary,White,107413,672,51182,1
34,Female,Asian,32695,729,43804,1
55,Female,Black,132406,434,20963,0
74,Male,Asian,127709,604,28226,1
43,Non-Binary,White,77704,601,40553,1
63,Female,Asian,30913,770,72900,1
39,Non-Binary,Hispanic,51648,432,35479,0
54,Male,Asian,35992,349,10897,0
33,Female,White,130212,314,38892,0
25,Male,Hispanic,103533,326,93979,0
38,Non-Binary,Black,96447,642,86970,0
71,Female,Other,29775,824,5750,1
32,Female,Asian,50016,770,92531,1
46,Male,Asian,49302,752,36238,1
73,Female,Asian,75754,580,29818,1
62,Non-Binary,Other,39011,681,89647,1
44,Non-Binary,Hispanic,84034,366,93009,0
49,Female,Hispanic,76038,355,15460,0
39,Male,Asian,55232,831,58094,1
40,Female,Other,51195,533,79420,0
50,Female,Black,122634,652,93590,0
71,Male,White,63611,463,87478,0
21,Male,White,74552,809,54118,1
31,Male,White,20892,429,53477,0
39,Non-Binary,Hispanic,64985,847,76951,0
36,Non-Binary,Hispanic,76806,815,64717,0
30,Female,Other,79934,734,43797,1
19,Male,Other,25182,535,59907,0
21,Non-Binary,Black,41426,467,36329,0
49,Male,Asian,77959,580,97732,1
60,Female,Asian,113909,485,34129,0
28,Male,Hispanic,71164,460,52555,0
46,Female,Hispanic,139874,548,95552,0
58,Female,White,42594,475,90904,0
66,Male,Black,22509,661,26276,0
61,Non-Binary,Black,118697,717,51245,1
46,Female,White,31744,786,93604,1
45,Male,Asian,122548,717,16342,1
67,Male,Black,41844,561,97138,0
59,Male,Black,98801,619,70905,0
18,Male,Black,120384,549,21826,0
45,Male,Asian,42853,553,35859,0
68,Non-Binary,White,109733,754,19805,1
68,Non-Binary,White,143315,838,84483,1
68,Female,White,70105,673,77211,1
72,Male,White,109639,370,36756,0
64,Female,White,43627,556,82332,0
52,Male,Black,33684,419,87260,0
69,Female,Asian,104847,713,96924,1
37,Non-Binary,Asian,140290,333,6026,0
68,Female,Black,42630,775,72216,0
49,Male,Black,117938,369,37621,0
36,Non-Binary,Asian,145653,820,42149,1
24,Non-Binary,Black,49267,403,43194,0
60,Non-Binary,White,66797,315,26458,0
74,Male,White,67676,520,20053,0
37,Male,Hispanic,137947,631,62037,0
39,Non-Binary,Black,20138,555,76979,0
52,Female,White,125020,721,99503,1
34,Non-Binary,Hispanic,63883,301,66523,0
72,Non-Binary,Other,140569,746,49106,1
39,Female,Asian,81863,675,6368,1
40,Non-Binary,Black,147798,553,11839,0
32,Female,Other,143247,738,19922,1
26,Non-Binary,White,144703,629,36793,1
48,Female,Asian,43085,629,70830,0
24,Male,Other,108552,735,40162,1
67,Non-Binary,Other,115053,661,51533,1
22,Female,Asian,69562,639,80017,1
64,Non-Binary,Other,129911,418,70261,0
65,Female,Other,87408,462,48593,0
57,Non-Binary,Black,61409,527,14215,0
37,Non-Binary,Asian,108741,636,95426,1
65,Non-Binary,Asian,90266,473,90048,0
23,Male,White,96657,559,48384,1
32,Male,Asian,119141,719,68104,1
19,Male,Other,141570,705,64149,1
58,Female,Other,64015,492,29537,0
43,Male,White,38807,577,39195,0
70,Non-Binary,Black,32165,535,74598,0
64,Male,Black,35770,310,74232,0
64,Non-Binary,Other,146286,573,14316,1
68,Male,Asian,35416,690,84475,1
64,Female,Hispanic,95921,778,66882,0
56,Male,White,132187,771,24501,1
40,Non-Binary,Other,80863,548,50412,0
64,Male,Hispanic,81769,838,53531,0
36,Male,White,67554,441,80517,0
30,Female,Hispanic,136101,559,90038,0
62,Male,Asian,25749,641,73040,0
59,Non-Binary,Black,119079,792,28744,1
72,Male,Black,66539,774,90461,0
