Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
69,Male,White,87245,848,8882,1
48,Female,Asian,28954,596,62055,0
31,Female,Hispanic,88566,456,65403,0
68,Non-Binary,Black,117067,474,94976,0
30,Non-Binary,Other,107427,491,34329,0
25,Female,Black,40409,724,32619,0
62,Male,Asian,113390,653,95547,1
54,Non-Binary,Hispanic,80313,760,6945,0
26,Male,Black,144655,443,44135,0
34,Non-Binary,Asian,116959,311,83407,0
47,Male,Asian,81473,523,9881,0
45,Male,White,133002,607,7608,1
29,Non-Binary,Hispanic,55071,493,78413,0
42,Female,Asian,115978,372,51204,0
63,Female,Asian,76765,543,15524,0
39,Non-Binary,Black,58970,491,14348,0
57,Female,Black,21491,407,79683,0
74,Female,Hispanic,52511,794,39945,0
24,Non-Binary,Black,133204,767,12887,1
40,Female,Other,107590,792,45777,1
57,Female,Other,107750,768,83323,1
21,Male,Asian,38530,814,99714,1
56,Male,White,37376,462,87783,0
52,Female,Other,121878,404,19005,0
25,Non-Binary,Other,51072,384,39828,0
34,Male,Hispanic,102481,801,36388,0
50,Male,Black,58824,471,28525,0
49,Female,Other,117336,453,47201,0
54,Non-Binary,Other,122649,491,95570,1
55,Female,Other,53969,535,74136,0
19,Non-Binary,Hispanic,91218,707,44288,0
61,Female,Black,124102,739,91139,1
36,Non-Binary,Hispanic,68814,352,61337,0
22,Non-Binary,Hispanic,48565,653,71664,0
67,Non-Binary,White,60908,710,27590,1
57,Male,White,45474,321,54777,0
19,Non-Binary,White,55934,312,28355,0
23,Male,Black,21739,458,10473,0
28,Male,Hispanic,64105,487,24005,0
55,Female,Black,25285,714,99517,0
40,Non-Binary,White,110897,596,44782,1
26,Female,White,52111,727,44741,1
74,Female,White,24842,431,35406,0
56,Male,White,93086,379,83750,0
31,Female,Other,122035,677,80938,1
23,Male,Hispanic,147355,843,25627,1
47,Non-Binary,Black,22733,778,35350,0
67,Non-Binary,Black,144093,780,94626,1
60,Non-Binary,Other,149639,453,79176,1
39,Male,White,72878,558,47109,0
52,Non-Binary,White,76862,785,89745,1
72,Non-Binary,White,53980,316,40858,0
27,Female,Black,20938,483,9068,0
48,Female,Asian,91682,663,61971,1
33,Male,Black,97528,639,58247,0
51,Female,Black,31841,582,43818,0
70,Male,Other,68861,840,19102,1
49,Male,Black,98009,440,19587,0
67,Non-Binary,Black,128376,532,42755,0
21,Non-Binary,White,89468,331,19620,0
29,Non-Binary,Other,37886,604,60866,0
55,Female,White,136258,847,31098,1
27,Non-Binary,Other,116097,515,50714,1
64,Female,White,50693,769,21669,1
52,Female,Asian,132084,745,76009,1
59,Male,Hispanic,137936,569,83531,0
28,Female,Other,124831,316,13812,0
45,Female,Other,45635,355,66347,0
42,Male,Black,96101,321,69849,0
53,Female,Asian,40154,810,88565,1
40,Female,Other,83170,453,6619,0
66,Male,Black,37193,512,95258,0
63,Male,Asian,96320,463,20662,0
66,Male,Other,143218,529,57549,1
22,Female,Asian,129600,377,96436,0
66,Male,Asian,141442,543,61198,1
19,Female,Hispanic,105909,712,66746,0
40,Male,Other,92327,496,17100,0
22,Female,Asian,119286,681,96504,1
