Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
64,Male,Asian,36735,416,57476,0
22,Non-Binary,Asian,73018,460,79234,0
53,Male,White,92160,524,86461,0
33,Female,Asian,84555,423,46781,0
50,Male,Other,133883,775,62401,1
23,Male,Other,116290,387,46469,0
54,Female,Asian,133808,709,54040,1
31,Male,Other,117548,700,62185,1
62,Female,Asian,53672,327,92264,0
64,Female,White,109604,592,65687,1
49,Female,Black,90991,573,45407,1
28,Male,White,115239,666,71257,1
41,Non-Binary,Hispanic,22292,330,85804,0
25,Male,Black,78235,651,97121,1
74,Non-Binary,Asian,120049,546,24990,1
45,Male,Black,65764,633,64613,1
63,Non-Binary,Hispanic,69617,713,8957,1
51,Female,Hispanic,32387,324,11001,0
60,Male,Asian,85090,452,86789,0
32,Male,Hispanic,39456,620,22899,0
30,Female,Other,119809,724,51790,1
66,Male,Black,127161,551,86254,1
50,Male,Other,145885,772,58221,1
42,Female,Asian,101002,738,39661,1
26,Male,Other,46810,393,65433,0
28,Non-Binary,Hispanic,94054,402,97234,0
47,Female,Black,39204,666,90667,1
44,Non-Binary,Other,109614,581,71323,1
36,Non-Binary,Black,31603,436,37179,0
73,Male,Hispanic,72003,353,34269,0
65,Male,Black,56039,494,59148,0
67,Non-Binary,Hispanic,106113,678,11868,1
24,Male,Other,143877,427,5766,0
60,Male,White,104652,447,69125,0
67,Female,Asian,83926,806,64917,1
35,Non-Binary,White,118681,511,49559,1
30,Female,Black,66558,448,90675,0
60,Female,Asian,122456,828,6536,1
20,Male,Asian,69171,806,66183,0
54,Female,Asian,137727,596,84964,1
29,Female,Black,61044,763,78307,1
62,Non-Binary,Hispanic,80400,398,73705,0
38,Male,Hispanic,60094,487,36069,0
54,Female,Other,86168,749,74118,1
52,Male,Black,128074,805,80862,1
29,Male,Black,100326,782,16613,1
19,Non-Binary,White,103086,724,59832,0
24,Non-Binary,Asian,95464,410,76899,0
27,Non-Binary,Black,107841,534,7006,1
45,Male,White,71394,319,66148,0
18,Non-Binary,Black,63539,668,49498,0
43,Female,Hispanic,97197,799,81066,1
39,Non-Binary,White,68584,732,51227,1
47,Male,Hispanic,101916,343,89630,0
25,Male,Other,25849,309,85969,0
38,Non-Binary,Asian,76689,326,57723,0
51,Male,Other,54185,715,75802,1
63,Male,Asian,80286,403,27103,0
46,Non-Binary,White,60673,810,61002,1
26,Non-Binary,White,108378,456,83395,0
45,Female,Hispanic,47230,428,13602,0
68,Non-Binary,Black,51785,734,89319,1
73,Female,Asian,66247,385,89709,0
21,Female,Other,96308,602,46663,0
20,Male,Asian,35014,458,44922,0
24,Non-Binary,Hispanic,98930,446,94874,0
56,Non-Binary,White,71091,316,47035,0
48,Male,Black,141538,556,75319,1
31,Non-Binary,Hispanic,117537,793,21338,1
42,Male,Black,108547,674,40793,1
42,Non-Binary,Asian,49443,319,27050,0
70,Non-Binary,Black,97057,634,30851,1
67,Female,Other,37409,506,8088,0
42,Male,White,141724,809,85355,1
