Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
65,Male,White,75636,399,53476,0
20,Male,Hispanic,49551,390,62835,0
49,Female,White,90831,628,6416,1
27,Male,White,91741,595,34814,1
70,Female,White,130163,719,53813,1
40,Male,White,75781,451,26246,0
64,Female,White,47039,512,42136,0
42,Female,White,148183,361,86782,0
42,Male,Hispanic,41116,373,62164,0
62,Non-Binary,Hispanic,40424,842,22070,1
67,Non-Binary,Hispanic,77856,302,12219,0
49,Female,Other,109274,300,61443,0
67,Non-Binary,White,23342,591,85415,0
68,Non-Binary,Other,134751,573,96415,1
68,Female,Hispanic,71826,317,29792,0
24,Female,Hispanic,128793,357,95666,0
56,Non-Binary,Other,87879,587,89539,1
48,Male,Black,115559,453,23686,0
50,Non-Binary,White,98661,610,43732,1
25,Male,Asian,123847,757,68093,1
41,Non-Binary,Asian,58042,476,82272,0
23,Female,White,32667,564,31127,0
65,Male,Other,120531,466,34676,0
37,Female,Other,50693,354,64402,0
33,Female,Black,72002,344,13684,0
56,Male,Hispanic,104677,441,42677,0
63,Non-Binary,Other,75835,744,93010,1
68,Male,Hispanic,84890,834,82010,1
25,Non-Binary,Asian,27554,316,29822,0
74,Female,Black,132785,495,48569,1
25,Non-Binary,Hispanic,83318,739,70747,1
29,Female,Other,149238,482,36900,1
33,Non-Binary,White,146219,764,93056,1
19,Non-Binary,Asian,42635,783,61966,1
62,Female,White,106635,503,73141,0
67,Male,Hispanic,40091,774,44801,1
33,Non-Binary,Other,89164,798,99516,1
26,Male,White,122547,480,24899,1
63,Female,Other,84602,454,77253,0
63,Male,Black,74151,371,60642,0
40,Non-Binary,Hispanic,59022,617,71191,1
52,Non-Binary,White,116087,727,24231,1
49,Non-Binary,White,119367,668,14094,1
73,Female,Asian,125204,820,24406,1
42,Non-Binary,Black,37227,400,80836,0
42,Non-Binary,White,27624,435,11937,0
19,Non-Binary,Black,66453,385,41532,0
40,Non-Binary,Black,20854,317,23634,0
62,Male,Asian,83891,800,46311,1
40,Female,Black,52973,451,35395,0
64,Male,Black,49716,386,27580,0
70,Non-Binary,Other,65896,569,59461,0
56,Female,Black,41488,569,86170,0
